Accession,EVS_3_1,EVS_3_2,EVS_3_3,EVS_3_4
aadA,0,0,0,0.002533174
AAC(3)-Ib,0.000762702,0,0.000778678,0
aadA16,0.000449993,0.000103893,0,0
Aac(3)-iid_iia_iie,0.013884364,0.003261948,0.011764189,0.016617244
aadA2,0.000660849,0.0000965,0,0.001951722
str,0,0,0,0
AAC(3)-Via,0.076841529,0.016415874,0.123570556,0.078870029
aadA5,0,0,0,0
ANT(4'),0,0.000183801,0,0
APH(3')-Ia,0,0,0,0
AAC(6')-Ib,0,0,0.000951474,0
aadA9,0,0,0,0
AAC(6')-IIa,0.000848311,0.006611028,0.040526771,0.048113284
AAC(6')-Ip,0,0,0,0
aacA_aphD,0,0,0,0
APH(3')-Ib,0,0,0,0
APH(6)-Ia,0.000118183,0.000286123,0.000953553,0.001221504
APH(6)-Id,0,0,0,0
APH3-III,0,0,0,0
AAC(3)-Ia,0,0,0.00050314,0
aadA10,0.000245385,0,0,0
AAC(3)-Iic,0,0,0,0
aadA17,0.000982397,0.000468845,0.003991784,0.001568809
AAC(3)-IV,0.005728527,0.001356098,0.016873105,0.009563547
aadA21,0,0.000134349,0,0
strA,0,0,0,0
AAC(3)-Xa,0.002070809,0.000114672,0.001180198,0.000527017
aadA7,0.011549282,0.008201041,0.061446196,0.032687974
ANT(2'')-Ia,0.001868426,0.000209241,0.002769938,0.002463423
ANT(6),0,0,0,0
APH(3'')-Ia,0.00968648,0.006327134,0.064137201,0.044309107
aac(6')-ie-aph(2'')-ia,0,0,0,0
AAC(6')-Im,0,0,0,0.002800587
AAC(6')-Ir,0,0.000125029,0.000788263,0.000641521
aacA43,0.000161305,0,0,0
APH(4)-Ib,0.011966634,0.007865802,0.047815092,0.035192652
APH(6)-Ic,0.002603712,0.002760216,0.021601952,0.015980523
APH(9)-Ib,0.00446626,0.001385412,0.11355284,0.012129168
APHA3,0,0,0,0
CphA beta-lac,0.003550013,0.001842371,0.023933378,0.020560516
MIR beta-lac,0.002013789,0.000364462,0.002694673,0.002048486
IMIR beta-lac,0.000143382,0,0,0
L1 beta-lac,0,0,0,0
AmpC beta-lac,0.000106239,0.00010296,0.000386988,0
blaSFO,0.001096036,0.000389386,0.003762825,0.00364985
TEM beta-lac,0.001341109,0.000105235,0,0
CARB-2,0,0,0,0
OXA-10,0,0,0,0
PDC beta-lac,0,0,0,0
ROB-1,0.00018269,0,0.000336334,0
GES beta-lac,0,0,0,0
ACT beta-lac,0.000191919,0.000131865,0.000647089,0.000457936
cepA beta-lac,0,0,0,0
CTX-M beta-lac,0,0,0,0
Bla1,0,0,0,0
CARB beta-lac,0.000289997,0,0.000491987,0
TLA beta-lac,0,0,0,0
CcrA beta-lac,0.000220698,0,0,0.000392933
OXY-1-1,0.005828919,0.001969613,0.01773046,0.008463422
CMY beta-lac,0,0,0,0
penA,0.000255397,0,0,0
ACC-1,0,0,0,0
FOX beta-lac,0.000106366,0,0,0
SHV-11,0.000252774,0,0,0
IMI beta-lac,0.000105097,0,0,0
ADC beta-lac,0,0,0,0
class C beta-lac,0,0,0,0
VEB beta-lac,0,0,0,0
DHA beta-lac,0,0,0,0
OCH beta-lac,0,0,0,0
VIM beta-lac,0.000109492,0,0,0
dfrA1,0,0,0,0
dfrC,0,0,0,0
dfrK,0,0,0,0
dfrA21,0.000201452,0.0000855,0.000375357,0
dfrG,0,0,0,0
qacA_B,0.000137485,0,0,0
Qnrvc1_vc3_vc6,0,0,0,0
mdtH,0,0.000194836,0.000712666,0.000601147
QnrB4,0.004173429,0.000690005,0.007093442,0.00254591
Qnrvc4_vc5_vc7,0,0,0,0
QepA_1_2,0.032975546,0.012525094,0.07638692,0.03520943
QnrD,0,0,0,0
vanHD,0,0,0,0
vanRB,0.000343711,0,0.000321884,0.000380513
vanTC,0.00053103,0.0000376,0,0
vanYD,0.001329202,0.000182821,0.001626826,0.001346986
vanB,0.002068721,0.0000558,0.005623102,0.000751272
vanC2_vanC3,0.00024509,0,0,0
vanRA,0,0,0,0
vanSB,0,0,0,0
vanYB,0,0,0,0
vanA,0.001406753,0.000462984,0.00269032,0.001721468
vanC,0,0,0,0
vanHB,0.005080986,0.0000673,0.007000322,0
erm(O),0.003689164,0.002462879,0.005995743,0.006574322
pica,0.026361736,0.000414414,0.04034354,0.000468576
ErmB,0,0,0,0
mphA,0.018869439,0.015796577,0.021252205,0.012423673
ErmE,0.019020853,0.002089748,0.016608752,0.010059977
lnuB,0,0,0,0
lnuF,0,0,0,0
Erm(42),0,0,0,0
ErmX,0,0,0,0
oleC,0.001603962,0.000117759,0.000993418,0.000410094
EreB,0,0,0,0
Erm(35),0.000408663,0.000228022,0.001302003,0.000826538
mef(B),0,0,0,0
vatE,0,0,0,0
ErmG,0,0,0,0
ermA_ermTR,0,0,0,0
pikR2,0.002677066,0.000234052,0.00172746,0.000658124
ErmD,0,0,0,0
mphB,0.000310015,0,0.000319843,0
ErmF,0,0,0,0
lnuA,0,0,0,0
lnuC,0,0,0,0
Erm(K),0,0,0,0
EreA,0.002870886,0.000473734,0.007713527,0.004328934
Erm(34),0,0,0,0
Erm(36),0,0,0.007696495,0
vatA,0,0,0,0
ErmQ,0,0,0,0
sugE,0.00392805,0.0000951,0.005588754,0.000357801
adeA,0,0,0,0.002304852
mepA,0.000907156,0.000565467,0.004841244,0.001304299
MexB,0,0,0.000469743,0
emrD,0.000432751,0.013808802,0.000974765,0.008949731
acrA,0,0.000210372,0.000460289,0.00058616
optrA,0.000278326,0,0,0
AcrF,0,0,0,0
cefa_qacelta,0,0,0,0
mdtE,0.000208926,0,0,0
ttgB,0.000875367,0.001093095,0.007036829,0.002375833
msrE,0,0.000212504,0,0
qacH_351,0.000558545,0.0000938,0.001441906,0.007936975
nimE,0,0,0,0
vgaB,0,0,0,0
qacF_H,0.000439593,0,0.004069265,0
adeI,0.000376257,0,0,0
marR,0,0,0,0
tolC,0,0,0.000565764,0
MexA,0,0,0.000415253,0
MexE,0,0.039633644,0.001349072,0.027819928
ttgA,0.000236167,0.0000369,0.000428761,0
OprD,0.004176861,0.001329395,0.007420941,0.002479317
acrB,0,0.001206802,0,0
oqxA,0,0,0,0
acrR,0.000106836,0.00590458,0,0
mdtA,0.002004615,0.001344234,0.005745251,0.005821193
ceoA,0.000460197,0.000299081,0.003231938,0.003246325
mdtG,0.017614,0.001403899,0.018674415,0.008663891
MdtK,0,0,0,0
mel_1,0,0,0,0
cmr,0,0,0,0
mtrD,0,0,0,0
bacA,0,0,0,0
MCR-1.1,0.00073327,0.0000385,0.001136601,0
catQ,0,0,0,0
cmx,0,0,0,0
floR,0.000334571,0,0.0005348,0.000759374
cmlA1,0,0,0,0
cmlv,0,0.000126624,0.000947336,0.000718717
catB3,0,0,0,0.001381943
fexA,0,0,0,0
cmlA5,0,0,0,0
sul2,0,0,0,0
sul1,0,0.000298441,0.000914821,0.001026916
sulA_folP,0,0,0,0
16S,1,1,1,1
tetPB,0,0,0,0
tetR,0.000496731,0,0.000832354,0.000679504
tetU,0,0,0,0
tetX,0,0,0,0
tet32,0,0,0,0
tetB(P),0,0,0,0
tetG,0.001837059,0.002021762,0.018949903,0.012974033
tetM,0.000196714,0,0,0
tetQ,0,0,0,0
tetT,0,0,0,0
tetW,0,0,0,0
tet(44),0,0,0,0
tetA,0.000714707,0,0,0
tetD,0.002433184,0.000317003,0.003301984,0.001752641
tetL,0,0,0,0
tetO,0,0,0,0
ISPps1-pseud,0,0.00011779,0.00184618,0.00290779
ISSm2-Xanthob,0.003011244,0.00019481,0.001028478,0.002749749
intI1_337old,0,0,0,0
IncI1_repI1,0.000703004,0.0000407,0.000631383,0
IS200-2,0,0,0,0
Tn3,0,0,0,0
IS256,0,0,0,0
IS6/257,0,0,0,0
IS91,0,0,0,0
mobA,0,0,0,0
IncHI2-smr0018,0,0,0,0
IS1247,0.001223505,0.001443551,0.001046219,0.004237191
IS21-ISAs29,0.000454172,0.000129863,0,0.000521275
TN5403,0.000140132,0.000261645,0.003572868,0.001200765
IS26,0,0,0,0
IS6100,0.000534119,0,0,0
IS630,0.000273261,0.000358613,0.000294136,0
ISEcp1,0,0,0,0
trb-C,0.010612556,0.009726353,0.01072253,0.012319733
traN,0,0,0,0
IncP_oriT,0.000635492,0.0000978,0.000698889,0.000386113
tnpA-7,0.000114991,0,0,0
Tp614,0,0,0,0
tnpA-1,0,0.000155609,0,0
tnpA-3,0.002025256,0,0.000796027,0.00458752
IS613,0,0,0,0
tnpA-5,0,0,0,0
tnpA-2,0.000362315,0,0.004574451,0
tnpA-4,0.000746619,0,0,0
tnpA-6,0,0,0,0
