genus,S_1,S_2,S_3,S_4,W_1,W_2,W_3,W_4,PETS_1,PETS_2,PETS_3,PETS_4,PETW_1,PETW_2,PETW_3,PETW_4,EVS_1,EVS_2,EVS_3,EVS_4,EVW_1,EVW_2,EVW_3,EVW_4,PETEVS_1,PETEVS_2,PETEVS_3,PETEVS_4,PETEVW_1,PETEVW_2,PETEVW_3,PETEVW_4
g__1921-3,0,0,0,0,0,0,0,0,0,0,0,0.013546831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__1959-1,0,0,0,0,0,0,0,0,0.005418733,0,0.008128099,0.010837465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15985261,0.002709366,0.013546831,0,0
g__AAP99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Acetatifactor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04334986,0.046059227,0,0
g__Acetivibrio,0,0,0,0,0,0,0,0,0,0,0,0.086699721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Acetobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032512395
g__Acetonema,0,0,0,0,0,0,0,0,0.005418733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Achromobacter,0,0,0.008128099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005418733,0,0,0,0.005418733,0,0,0,0,0.018965564,0,0,0,0.002709366,0,0
g__Acidibacter,0.002709366,0,0,0.005418733,0,0,0.013546831,0,0.132758948,0.146305779,0.089409087,0.078571622,0,0,0,0,0.002709366,0,0,0,0,0,0,0,0.089409087,0,0,0,0,0,0.037931128,0
g__Acidiphilium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Acidothermus,0,0,0,0,0,0,0,0,0.151724512,0.173399442,0.173399442,0.167980709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Acidovorax,15.37565363,2.246064645,0.476848465,1.98054675,1.167736866,0.490395297,3.700994337,1.530791948,0,0,0.083990355,0,0.354926983,0.132758948,0.100246552,0.113793384,0.13817768,0.024384297,0.246552331,0.040640494,0.002709366,0.032512395,0,0.005418733,9.631797123,0.165271343,0.192365006,1.116258907,0.447045436,1.202958628,2.056409006,0.579804384
g__Acinetobacter,0.024384297,0,0.008128099,0.010837465,0.013546831,0.005418733,0.008128099,0,0,0,0,0,0.411823674,0.059606058,0.04334986,0.067734157,0.149015145,0.010837465,0.15985261,0.056896692,0.476848465,0.216749302,91.145791,91.35712157,0.471429733,0.197783738,4.343114146,0.360345715,0.048768593,4.318729849,0.146305779,0.926603267
